"station_in","莘庄","外环路","莲花路","锦江乐园","上海南站","漕宝路","上海体育馆","徐家汇","衡山路","常熟路","陕西南路","黄陂南路","人民广场","新闸路","汉中路","上海火车站","中山北路","延长路","上海马戏城","汶水路","彭浦新村","共康路","通河新村","呼兰路","共富新村","宝安公路","友谊西路","浦东国际机场","海天三路","远东大道","凌空路","川沙","华夏东路","创新中路","唐镇","广兰路","金科路","张江高科","龙阳路","世纪公园","上海科技馆","世纪大道","东昌路","陆家嘴","南京东路","南京西路","静安寺","江苏路","中山公园","娄山关路","威宁路","北新泾","淞虹路","虹桥2号航站楼","虹桥火车站","石龙路","龙漕路","漕溪路","宜山路","虹桥路","延安西路","金沙江路","曹杨路","镇坪路","中潭路","宝山路","东宝兴路","虹口足球场","赤峰路","大柏树","江湾镇","殷高西路","长江南路","淞发路","张华浜","淞滨路","水产路","宝杨路","友谊路","铁力路","上海体育场","东安路","大木桥路","鲁班路","西藏南路","南浦大桥","塘桥","蓝村路","浦电路","浦东大道","杨树浦路","大连路","临平路","海伦路","春申路","银都路","颛桥","北桥","剑川路","东川路","金平路","华宁路","文井路","港城路","外高桥保税区北","航津路","外高桥保税区南","洲海路","五洲大道","东靖路","巨峰路","五莲路","博兴路","金桥路","云山路","德平路","北洋泾路","民生路","源深体育中心","上海儿童医学中心","临沂新村","高科西路","东明路","高青路","华夏西路","上南路","灵岩南路","花木路","芳华路","锦绣路","杨高南路","云台路","耀华路","长清路","后滩","龙华中路","肇嘉浜路","昌平路","长寿路","岚皋路","新村路","大华三路","行知路","大场镇","场中路","上大路","南陈路","上海大学","祁华路","顾村公园","刘行","潘广路","罗南新村","沈杜公路","联航路","江月路","浦江镇","芦恒路","凌兆新村","东方体育中心","杨思","成山路","中华艺术宫","陆家浜路","老西门","大世界","曲阜路","中兴路","西藏北路","曲阳路","四平路","鞍山新村","江浦路","黄兴路","延吉中路","黄兴公园","翔殷路","嫩江路","杨高中路","商城路","小南门","马当路","打浦桥","嘉善路","桂林路","漕河泾开发区","合川路","星中路","七宝","中春路","九亭","泗泾","佘山","洞泾","松江大学城","松江新城","松江体育中心","醉白池","新江湾城","殷高东路","三门路","江湾体育场","五角场","国权路","同济大学","邮电新村","四川北路","天潼路","豫园","新天地","上海图书馆","交通大学","宋园路","伊犁路","水城路","龙溪路","上海动物园","虹桥1号航站楼","龙柏新村","紫藤路","罗山路","御桥","浦三路","三林东","三林","龙耀路","云锦路","龙华","上海游泳馆","隆德路","枫桥路","真如","上海西站","李子园路","祁连山路","武威路","桃浦新村","南翔","马陆","嘉定新城","白银路","嘉定西","上海赛车场","昌吉东路","上海汽车城","安亭","兆丰路","光明路","金海路","申江路","金京路","杨高北路","东陆路","复兴岛","爱国路","隆昌路","宁国路","江浦公园","提篮桥","国际客运中心","金运路","金沙江西路","丰庄","祁连山南路","真北路","大渡河路","武宁路","滴水湖","临港大道","书院","惠南东","惠南","上海野生动物园","新场","航头东","鹤沙航城","周浦东","华夏中路","富锦路","徐泾东","江杨北路","闵行开发区","美兰湖","市光路","松江南站","航中路","嘉定北","花桥"
"淞滨路",24,23,22,21,20,19,18,17,16,15,14,13,12,13,12,11,12,13,14,15,16,17,18,19,20,21,22,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,13,14,15,16,17,18,19,20,21,22,21,20,19,18,17,17,15,14,13,12,10,9,8,7,6,5,4,3,2,1,0,1,2,3,4,18,17,18,17,16,17,18,18,17,15,14,13,12,11,25,26,27,28,29,30,31,32,33,27,26,25,24,23,22,21,20,21,22,22,21,20,19,18,17,19,20,20,21,22,23,23,22,20,20,21,21,19,18,19,19,18,16,15,14,14,15,16,17,18,19,20,21,22,23,24,25,26,27,27,26,25,24,23,22,21,20,19,17,15,14,13,11,10,9,9,10,11,12,13,14,15,16,17,17,17,16,16,17,17,19,20,21,22,23,24,25,26,27,28,29,30,31,32,17,16,15,14,13,12,11,11,12,12,14,15,15,16,18,19,20,21,22,22,22,23,21,22,23,23,22,21,20,19,18,15,15,16,17,18,19,20,21,22,23,24,25,26,25,26,27,28,29,30,24,23,22,21,19,18,17,16,15,14,14,13,21,20,19,18,17,16,15,31,30,29,28,27,26,25,24,23,22,20,23,23,5,34,28,18,33,24,27,31
"水产路",25,24,23,22,21,20,19,18,17,16,15,14,13,14,13,12,13,14,15,16,17,18,19,20,21,22,23,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,14,15,16,17,18,19,20,21,22,23,22,21,20,19,18,18,16,15,14,13,11,10,9,8,7,6,5,4,3,2,1,0,1,2,3,19,18,19,18,17,18,19,19,18,16,15,14,13,12,26,27,28,29,30,31,32,33,34,28,27,26,25,24,23,22,21,22,23,23,22,21,20,19,18,20,21,21,22,23,24,24,23,21,21,22,22,20,19,20,20,19,17,16,15,15,16,17,18,19,20,21,22,23,24,25,26,27,28,28,27,26,25,24,23,22,21,20,18,16,15,14,12,11,10,10,11,12,13,14,15,16,17,18,18,18,17,17,18,18,20,21,22,23,24,25,26,27,28,29,30,31,32,33,18,17,16,15,14,13,12,12,13,13,15,16,16,17,19,20,21,22,23,23,23,24,22,23,24,24,23,22,21,20,19,16,16,17,18,19,20,21,22,23,24,25,26,27,26,27,28,29,30,31,25,24,23,22,20,19,18,17,16,15,15,14,22,21,20,19,18,17,16,32,31,30,29,28,27,26,25,24,23,21,24,24,4,35,29,19,34,25,28,32
"宝杨路",26,25,24,23,22,21,20,19,18,17,16,15,14,15,14,13,14,15,16,17,18,19,20,21,22,23,24,32,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,15,16,17,18,19,20,21,22,23,24,23,22,21,20,19,19,17,16,15,14,12,11,10,9,8,7,6,5,4,3,2,1,0,1,2,20,19,20,19,18,19,20,20,19,17,16,15,14,13,27,28,29,30,31,32,33,34,35,29,28,27,26,25,24,23,22,23,24,24,23,22,21,20,19,21,22,22,23,24,25,25,24,22,22,23,23,21,20,21,21,20,18,17,16,16,17,18,19,20,21,22,23,24,25,26,27,28,29,29,28,27,26,25,24,23,22,21,19,17,16,15,13,12,11,11,12,13,14,15,16,17,18,19,19,19,18,18,19,19,21,22,23,24,25,26,27,28,29,30,31,32,33,34,19,18,17,16,15,14,13,13,14,14,16,17,17,18,20,21,22,23,24,24,24,25,23,24,25,25,24,23,22,21,20,17,17,18,19,20,21,22,23,24,25,26,27,28,27,28,29,30,31,32,26,25,24,23,21,20,19,18,17,16,16,15,23,22,21,20,19,18,17,33,32,31,30,29,28,27,26,25,24,22,25,25,3,36,30,20,35,26,29,33
"友谊路",27,26,25,24,23,22,21,20,19,18,17,16,15,16,15,14,15,16,17,18,19,20,21,22,23,24,25,33,32,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,16,17,18,19,20,21,22,23,24,25,24,23,22,21,20,20,18,17,16,15,13,12,11,10,9,8,7,6,5,4,3,2,1,0,1,21,20,21,20,19,20,21,21,20,18,17,16,15,14,28,29,30,31,32,33,34,35,36,30,29,28,27,26,25,24,23,24,25,25,24,23,22,21,20,22,23,23,24,25,26,26,25,23,23,24,24,22,21,22,22,21,19,18,17,17,18,19,20,21,22,23,24,25,26,27,28,29,30,30,29,28,27,26,25,24,23,22,20,18,17,16,14,13,12,12,13,14,15,16,17,18,19,20,20,20,19,19,20,20,22,23,24,25,26,27,28,29,30,31,32,33,34,35,20,19,18,17,16,15,14,14,15,15,17,18,18,19,21,22,23,24,25,25,25,26,24,25,26,26,25,24,23,22,21,18,18,19,20,21,22,23,24,25,26,27,28,29,28,29,30,31,32,33,27,26,25,24,22,21,20,19,18,17,17,16,24,23,22,21,20,19,18,34,33,32,31,30,29,28,27,26,25,23,26,26,2,37,31,21,36,27,30,34
"铁力路",28,27,26,25,24,23,22,21,20,19,18,17,16,17,16,15,16,17,18,19,20,21,22,23,24,25,26,34,33,32,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,17,18,19,20,21,22,23,24,25,26,25,24,23,22,21,21,19,18,17,16,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0,22,21,22,21,20,21,22,22,21,19,18,17,16,15,29,30,31,32,33,34,35,36,37,31,30,29,28,27,26,25,24,25,26,26,25,24,23,22,21,23,24,24,25,26,27,27,26,24,24,25,25,23,22,23,23,22,20,19,18,18,19,20,21,22,23,24,25,26,27,28,29,30,31,31,30,29,28,27,26,25,24,23,21,19,18,17,15,14,13,13,14,15,16,17,18,19,20,21,21,21,20,20,21,21,23,24,25,26,27,28,29,30,31,32,33,34,35,36,21,20,19,18,17,16,15,15,16,16,18,19,19,20,22,23,24,25,26,26,26,27,25,26,27,27,26,25,24,23,22,19,19,20,21,22,23,24,25,26,27,28,29,30,29,30,31,32,33,34,28,27,26,25,23,22,21,20,19,18,18,17,25,24,23,22,21,20,19,35,34,33,32,31,30,29,28,27,26,24,27,27,1,38,32,22,37,28,31,35
"上海体育场",7,6,5,4,3,2,1,2,3,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,9,8,7,5,4,4,5,6,7,8,9,10,11,4,4,3,2,3,4,6,6,7,8,10,11,10,11,12,13,14,15,16,17,18,19,20,21,22,0,1,2,3,4,5,6,7,8,9,10,11,11,10,8,9,10,11,12,13,14,15,16,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,8,7,8,9,10,9,8,12,10,9,8,6,5,4,3,2,2,5,6,8,9,10,11,12,13,14,15,16,17,18,19,20,21,13,12,11,10,9,8,7,7,6,5,5,6,7,7,8,9,11,12,13,14,15,16,17,18,19,9,7,6,5,4,3,3,4,5,6,7,8,9,10,11,12,13,14,15,16,19,18,17,16,15,14,13,11,9,8,7,5,4,3,4,5,6,7,8,9,8,9,12,11,10,9,8,6,5,4,3,5,7,8,9,10,11,12,13,14,15,16,17,18,17,18,19,20,21,22,21,20,19,18,17,16,15,14,13,12,10,9,12,11,10,9,8,7,6,22,21,20,19,18,17,16,15,14,13,12,21,12,23,17,22,20,17,10,19,23
"东安路",8,7,6,5,4,3,2,2,3,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,8,7,6,4,3,4,5,6,7,8,9,10,11,5,5,4,3,4,5,6,6,6,7,9,10,9,10,11,12,13,14,15,16,17,18,19,20,21,1,0,1,2,3,4,5,6,7,8,9,10,10,9,9,10,11,12,13,14,15,16,17,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,7,6,7,8,9,9,8,11,9,8,7,5,4,3,2,1,1,4,5,7,8,9,10,11,12,13,14,15,16,17,18,19,20,13,12,11,10,9,8,7,6,5,4,4,5,6,6,7,8,10,11,12,13,14,15,16,17,18,8,6,5,4,3,2,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,17,16,15,14,13,12,10,8,7,6,4,4,3,5,6,7,8,9,10,9,10,12,11,10,9,8,6,5,4,3,5,7,8,9,10,11,12,13,14,15,16,17,18,17,18,19,20,21,22,20,19,18,17,16,15,14,13,12,11,9,8,12,11,10,9,8,7,6,22,21,20,19,18,17,16,15,14,13,11,20,12,22,18,21,19,18,11,19,23
"大木桥路",9,8,7,6,5,4,3,3,4,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,7,7,6,5,4,5,6,7,8,9,10,11,12,6,6,5,4,5,6,7,7,7,8,10,11,10,11,12,13,14,15,16,17,18,19,20,21,22,2,1,0,1,2,3,4,5,6,7,8,9,10,9,10,11,12,13,14,15,16,17,18,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,7,6,7,8,9,9,8,10,9,8,7,5,4,4,3,2,2,5,6,8,9,10,11,12,13,14,15,16,17,18,19,20,21,13,12,11,10,9,8,7,6,5,3,3,4,5,7,8,9,11,11,12,13,14,15,16,17,18,7,5,4,4,4,3,5,6,7,8,9,10,11,12,13,14,15,16,17,18,18,17,16,15,14,13,12,10,8,7,5,5,5,4,6,7,8,9,10,11,10,11,11,11,10,9,8,7,6,5,4,6,8,9,10,11,12,13,14,15,16,17,18,19,18,19,20,21,22,23,19,18,17,16,15,14,13,12,11,10,9,8,13,12,11,10,9,8,7,21,20,19,18,17,16,15,14,13,12,10,21,13,23,19,22,19,19,12,20,24
"鲁班路",10,9,8,7,6,5,4,4,5,4,5,6,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,6,6,5,6,5,6,7,8,9,10,11,12,13,7,7,6,5,6,7,8,8,8,9,9,10,9,10,11,12,13,14,15,16,17,18,19,20,21,3,2,1,0,1,2,3,4,5,6,7,8,9,8,11,12,13,14,15,16,17,18,19,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,6,5,6,7,8,8,7,9,8,7,6,4,3,4,4,3,3,6,7,9,10,11,12,13,14,15,16,17,18,19,20,21,22,12,11,10,9,8,7,6,5,4,2,2,3,4,6,7,8,10,10,11,12,13,14,15,16,17,6,4,3,3,4,4,6,7,8,9,10,11,12,13,14,15,16,17,18,19,17,16,15,14,13,12,11,9,7,6,4,4,6,5,7,8,9,10,11,12,11,12,10,10,9,8,7,7,7,6,5,7,9,10,11,12,13,14,15,16,17,18,19,20,19,20,21,22,23,24,18,17,16,15,14,13,12,11,10,9,8,7,14,13,12,11,10,9,8,20,19,18,17,16,15,14,13,12,11,9,20,14,22,20,23,18,20,13,21,25
"西藏南路",11,10,9,8,7,6,5,5,6,5,4,5,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,5,5,4,5,6,7,8,9,10,11,12,13,14,8,8,7,6,7,8,9,9,9,8,8,9,8,9,10,11,12,13,14,15,16,17,18,19,20,4,3,2,1,0,1,2,3,4,5,6,7,8,7,12,13,14,15,16,17,18,19,20,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,5,4,5,6,7,7,6,8,7,6,5,3,2,3,4,4,4,7,8,10,11,12,13,14,15,16,17,18,19,20,21,22,23,11,10,9,8,7,6,5,4,3,1,1,2,3,5,6,7,9,9,10,11,12,13,14,15,16,5,3,2,2,3,4,7,8,9,10,11,12,13,14,15,16,17,18,19,20,16,15,14,13,12,11,10,8,6,5,3,3,5,6,8,9,10,11,12,13,12,13,9,9,8,7,6,6,7,7,6,8,10,11,12,13,14,15,16,17,18,19,20,21,20,21,22,23,24,25,17,16,15,14,13,12,11,10,9,8,7,6,15,14,13,12,11,10,9,19,18,17,16,15,14,13,12,11,10,8,19,15,21,21,24,17,21,14,22,26
"南浦大桥",12,11,10,9,8,7,6,6,7,6,5,6,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,5,6,5,6,7,8,9,10,11,12,13,14,15,9,9,8,7,8,9,10,10,10,9,9,10,9,10,11,12,13,14,15,16,17,18,19,20,21,5,4,3,2,1,0,1,2,3,5,6,7,8,8,13,14,15,16,17,18,19,20,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,3,4,5,6,7,8,8,7,8,8,7,6,4,3,4,5,5,5,8,9,11,12,13,14,15,16,17,18,19,20,21,22,23,24,12,11,10,9,8,7,6,5,4,2,2,3,4,6,7,8,10,10,11,12,13,14,15,16,17,5,4,3,3,4,5,8,9,10,11,12,13,14,15,16,17,18,19,20,21,17,16,15,14,13,12,11,9,7,6,4,4,6,7,9,10,11,12,13,14,13,14,9,10,9,8,7,7,8,8,7,9,11,12,13,14,15,16,17,18,19,20,21,22,21,22,23,24,25,26,17,16,15,14,13,12,11,10,9,8,8,7,16,15,14,13,12,11,10,19,18,17,16,15,14,13,12,11,10,8,20,16,22,22,25,18,22,15,23,27
"塘桥",13,12,11,10,9,8,7,7,8,7,6,7,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,4,5,6,7,8,9,10,11,12,13,14,15,16,10,10,9,8,9,10,11,11,11,10,9,10,10,11,12,13,14,15,16,17,18,19,20,21,22,6,5,4,3,2,1,0,1,2,4,5,6,7,8,14,15,16,17,18,19,20,21,22,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,2,3,4,5,6,7,8,8,7,7,6,5,5,4,5,6,6,6,9,10,12,13,14,15,16,17,18,19,20,21,22,23,24,25,13,12,11,10,9,8,7,6,5,3,3,4,5,7,8,9,11,10,11,12,13,14,15,16,17,4,4,4,4,5,6,9,10,11,12,13,14,15,16,17,18,19,20,21,22,17,16,15,14,13,12,11,9,8,7,5,5,7,8,10,11,12,13,14,15,14,15,8,9,10,9,8,8,9,9,8,10,12,13,14,15,16,17,18,19,20,21,22,23,22,23,24,25,26,27,16,15,14,13,12,11,10,9,8,7,7,8,17,16,15,14,13,12,11,18,17,16,15,14,13,12,11,10,9,7,21,17,23,23,26,18,23,16,24,28
"蓝村路",14,13,12,11,10,9,8,8,9,8,7,7,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,3,4,5,7,8,9,10,11,12,13,14,15,16,11,11,10,9,10,11,11,11,11,10,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,7,6,5,4,3,2,1,0,1,3,4,5,6,7,15,16,17,18,19,20,21,22,23,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,1,2,3,4,5,6,7,8,6,6,5,4,4,5,6,7,7,7,9,10,12,13,14,15,16,17,18,19,20,21,22,23,24,25,14,13,12,11,10,9,8,7,6,4,4,5,6,7,8,9,10,9,10,11,12,13,14,15,16,3,3,4,5,6,7,10,11,12,13,14,15,16,17,18,19,20,21,22,23,16,15,14,13,12,11,10,8,7,6,6,6,8,9,11,12,13,14,15,16,15,16,7,8,9,10,9,9,10,10,9,10,12,13,14,15,16,17,18,19,20,21,22,23,22,23,24,25,26,27,15,14,13,12,11,10,9,8,7,6,6,7,17,16,15,14,13,12,11,17,16,15,14,13,12,11,10,9,8,6,21,17,23,24,26,17,24,17,24,28
"浦电路",15,14,13,12,11,10,9,9,9,8,7,6,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,2,3,4,6,7,8,9,10,11,12,13,14,15,12,12,11,10,10,10,10,10,10,9,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,8,7,6,5,4,3,2,1,0,2,3,4,5,6,16,17,18,19,20,21,22,23,24,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,2,3,4,5,6,7,8,9,5,5,6,5,5,6,7,8,8,8,8,9,11,12,13,14,15,16,17,18,19,20,21,22,23,24,15,14,13,12,11,10,9,8,7,5,4,5,6,6,7,8,9,8,9,10,11,12,13,14,15,2,2,3,5,6,7,11,12,13,14,15,16,17,18,19,20,21,22,23,24,15,14,13,12,11,10,9,7,6,5,5,6,8,9,11,12,13,14,15,15,15,16,6,7,8,9,10,10,11,11,10,9,11,12,13,14,15,16,17,18,19,20,21,22,21,22,23,24,25,26,14,13,12,11,10,9,8,7,6,5,5,6,16,15,14,13,12,11,10,16,15,14,13,12,11,10,9,8,7,5,20,16,22,25,25,16,25,17,23,27
"浦东大道",16,15,14,13,12,11,10,9,9,8,7,6,5,6,7,6,7,8,9,10,11,12,13,14,15,16,17,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,2,3,4,6,7,8,9,10,11,12,13,14,15,13,12,11,10,10,10,10,9,8,7,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,9,8,7,6,5,5,4,3,2,0,1,2,3,4,17,18,19,20,21,22,23,24,25,16,15,14,13,12,11,10,9,9,8,7,6,5,4,3,2,4,5,6,7,8,9,10,11,5,5,6,7,7,7,8,9,9,8,8,9,9,10,11,12,13,14,15,16,17,18,19,20,21,22,16,15,14,13,12,11,10,9,8,6,4,5,6,6,7,8,7,6,7,8,9,10,11,12,13,2,2,3,5,6,7,11,12,13,14,15,16,17,18,19,20,21,22,23,24,13,12,11,10,9,8,7,5,5,5,5,6,8,9,11,12,13,14,15,15,15,16,6,7,8,9,10,11,12,11,10,9,10,11,12,13,14,15,16,17,18,19,20,21,20,21,22,23,24,25,13,12,11,10,8,7,6,5,4,3,3,4,16,15,14,13,12,11,10,16,15,14,13,12,11,10,9,8,7,5,18,16,20,26,23,14,25,17,22,26
"杨树浦路",17,16,15,14,13,12,11,10,10,9,8,7,6,7,6,5,6,7,8,9,10,11,12,13,14,15,16,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,3,4,5,7,8,9,10,11,12,13,14,15,16,14,13,12,11,11,11,9,8,7,6,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,10,9,8,7,6,6,5,4,3,1,0,1,2,3,18,19,20,21,22,23,24,25,26,15,14,13,12,11,10,9,8,9,9,8,7,6,5,4,3,5,6,7,8,9,10,11,12,6,6,7,8,8,8,9,10,10,9,9,8,8,9,10,11,12,13,14,15,16,17,18,19,20,21,17,16,15,14,13,12,11,10,9,7,5,6,7,5,6,7,6,5,6,7,8,9,10,11,12,3,3,4,6,7,8,12,13,14,15,16,17,18,19,20,21,22,23,24,25,12,11,10,9,8,7,6,4,4,4,6,7,9,10,12,13,14,15,16,16,16,17,7,8,9,10,11,12,13,12,11,9,9,10,11,12,13,14,15,16,17,18,19,20,19,20,21,22,23,24,12,11,10,9,7,6,5,4,3,2,2,3,15,14,13,12,11,10,9,17,16,15,14,13,12,11,10,9,8,6,17,17,19,27,22,13,26,18,21,25
"大连路",17,16,15,14,13,12,11,10,9,8,7,6,5,6,5,4,5,6,7,8,9,10,11,12,13,14,15,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,4,5,4,6,7,8,9,10,11,12,13,14,15,14,13,12,11,10,10,8,7,6,5,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,11,10,9,8,7,7,6,5,4,2,1,0,1,2,18,19,20,21,22,23,24,25,26,14,13,12,11,10,9,8,7,8,9,9,8,7,6,5,4,6,7,8,9,10,11,12,13,7,7,8,9,9,9,10,11,11,9,8,7,7,8,9,10,11,12,13,14,15,16,17,18,19,20,18,17,16,15,14,13,12,11,10,8,6,6,6,4,5,6,5,4,5,6,7,8,9,10,11,4,4,5,7,8,9,12,13,14,15,16,17,18,19,20,21,22,23,24,25,11,10,9,8,7,6,5,3,3,3,5,7,8,9,11,12,13,14,15,15,15,16,8,9,10,11,12,13,13,12,11,8,8,9,10,11,12,13,14,15,16,17,18,19,18,19,20,21,22,23,11,10,9,8,6,5,4,3,2,1,1,2,14,13,12,11,10,9,8,18,17,16,15,14,13,12,11,10,9,7,16,16,18,27,21,12,26,17,20,24
"临平路",17,16,15,14,13,12,11,10,9,8,7,6,5,5,4,3,4,5,6,7,8,9,10,11,12,13,14,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,5,5,4,6,7,8,8,9,10,11,12,13,14,14,13,12,11,10,9,7,6,5,4,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,11,10,10,9,8,8,7,6,5,3,2,1,0,1,18,19,20,21,22,23,24,25,26,15,14,13,12,11,10,9,8,9,10,10,9,8,7,6,5,7,8,9,10,11,12,13,14,8,8,9,10,10,10,11,12,11,9,7,6,6,7,8,9,10,11,12,13,14,15,16,17,18,19,19,18,17,16,15,14,13,12,11,9,7,6,6,4,5,5,4,3,4,5,6,7,8,9,10,5,5,6,8,9,10,12,13,14,15,16,17,18,19,20,21,22,23,24,25,10,9,8,7,6,5,4,2,2,3,5,7,8,9,11,12,13,14,15,14,15,16,9,10,11,12,13,14,13,12,11,7,7,8,9,10,11,12,13,14,15,16,17,18,17,18,19,20,21,22,12,11,10,9,7,6,5,4,3,2,2,3,13,12,11,10,9,8,7,19,18,17,16,15,14,13,12,11,10,8,15,15,17,27,20,11,26,17,19,23
"海伦路",16,15,14,13,12,11,10,9,8,7,6,5,4,4,3,2,3,4,5,6,7,8,9,10,11,12,13,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,5,4,3,5,6,7,7,8,9,10,11,12,13,13,12,11,10,9,8,6,5,4,3,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,10,9,9,8,7,8,8,7,6,4,3,2,1,0,17,18,19,20,21,22,23,24,25,16,15,14,13,12,11,10,9,10,11,11,10,9,8,7,6,8,9,10,11,12,13,14,13,9,9,10,11,10,9,10,11,10,8,6,5,5,6,7,8,9,10,11,12,13,14,15,16,17,18,18,17,16,15,14,13,12,11,10,8,6,5,5,3,4,4,3,2,3,4,5,6,7,8,9,6,6,7,7,8,9,11,12,13,14,15,16,17,18,19,20,21,22,23,24,9,8,7,6,5,4,3,1,1,2,4,6,7,8,10,11,12,13,14,13,14,15,10,11,12,13,13,13,12,11,10,6,6,7,8,9,10,11,12,13,14,15,16,17,16,17,18,19,20,21,13,12,11,10,8,7,6,5,4,3,3,3,12,11,10,9,8,7,6,20,19,18,17,16,15,14,13,12,11,9,14,14,16,26,19,10,25,16,18,22
"春申路",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,15,16,17,18,19,20,21,22,23,24,25,26,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,16,15,14,12,11,10,11,12,13,14,15,16,17,6,7,8,8,9,10,12,12,13,14,16,17,17,18,19,20,21,22,23,24,25,26,27,28,29,8,9,10,11,12,13,14,15,16,17,18,18,18,17,0,1,2,3,4,5,6,7,8,32,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,16,15,16,17,16,15,14,20,18,17,16,14,13,12,11,10,9,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,19,18,17,16,15,14,13,14,14,13,13,13,14,14,15,16,18,19,20,21,22,23,24,25,26,17,15,14,12,11,10,9,10,11,12,13,14,15,16,17,18,19,20,21,22,26,25,24,23,22,21,20,18,16,15,14,12,10,9,10,11,12,13,14,15,14,15,18,17,16,15,14,12,11,10,9,11,13,14,15,16,17,18,19,20,21,22,23,24,23,24,25,26,27,28,29,28,27,26,24,23,22,21,20,19,17,16,18,17,16,15,14,13,12,28,27,26,25,24,23,22,21,20,19,19,27,18,30,9,28,27,23,16,25,29
"银都路",2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,16,17,18,19,20,21,22,23,24,25,26,27,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,17,16,15,13,12,11,12,13,14,15,16,17,18,7,8,9,9,10,11,13,13,14,15,17,18,18,19,20,21,22,23,24,25,26,27,28,29,30,9,10,11,12,13,14,15,16,17,18,19,19,19,18,1,0,1,2,3,4,5,6,7,33,32,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,17,16,17,18,17,16,15,21,19,18,17,15,14,13,12,11,10,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,20,19,18,17,16,15,14,15,15,14,14,14,15,15,16,17,19,20,21,22,23,24,25,26,27,18,16,15,13,12,11,10,11,12,13,14,15,16,17,18,19,20,21,22,23,27,26,25,24,23,22,21,19,17,16,15,13,11,10,11,12,13,14,15,16,15,16,19,18,17,16,15,13,12,11,10,12,14,15,16,17,18,19,20,21,22,23,24,25,24,25,26,27,28,29,30,29,28,27,25,24,23,22,21,20,18,17,19,18,17,16,15,14,13,29,28,27,26,25,24,23,22,21,20,20,28,19,31,8,29,28,24,17,26,30
